collection	filename	language	temp
british library	Or_7071.xml	tur	TRUE
british library	Or_7076.xml	tur	TRUE
british library	Or_7084.xml	tur	TRUE
british library	Or_5963.xml	ar	TRUE
british library	Or_8389.xml	ar	TRUE
british library	Or_8434.xml	ar	TRUE
british library	Or_9850.xml	ar	TRUE
british library	Or_14339.xml	ar	TRUE
british library	Or_14339.xml	fa	TRUE
british library	Or_5346.xml	chg	TRUE
british library	Add_7735.xml	fa	TRUE
british library	Delhi_Persian_138.xml	fa	TRUE
british library	Delhi_Persian_36.xml	fa	TRUE
british library	Delhi_Persian_41.xml	fa	TRUE
british library	Grenville_XLI.xml	fa	TRUE
british library	IO_Islamic_3540.xml	fa	TRUE
british library	IO_Islamic_4063.xml	fa	TRUE
british library	IO_Islamic_4300.xml	fa	TRUE
british library	IO_Islamic_4619.xml	fa	TRUE
british library	IO_Islamic_4660.xml	fa	TRUE
british library	IO_Islamic_4678B.xml	fa	TRUE
british library	IO_Islamic_4720.1.xml	fa	TRUE
british library	IO_Islamic_4742.xml	fa	TRUE
british library	Or_10904.xml	fa	TRUE
british library	Or_10905.xml	fa	TRUE
british library	Or_10909.xml	fa	TRUE
british library	Or_10910.xml	fa	TRUE
british library	Or_10915.xml	fa	TRUE
british library	Or_10918.xml	fa	TRUE
british library	Or_10946.xml	fa	TRUE
british library	Or_11012.xml	fa	TRUE
british library	Or_11151.xml	fa	TRUE
british library	Or_11152.xml	fa	TRUE
british library	Or_11216.xml	fa	TRUE
british library	Or_11249.xml	fa	TRUE
british library	Or_11283.xml	fa	TRUE
british library	Or_11327.xml	fa	TRUE
british library	Or_11329.xml	fa	TRUE
british library	Or_11330.xml	fa	TRUE
british library	Or_11331.xml	fa	TRUE
british library	Or_11520.xml	fa	TRUE
british library	Or_11523.xml	fa	TRUE
british library	Or_11524.xml	fa	TRUE
british library	Or_11609.xml	fa	TRUE
british library	Or_11627.xml	fa	TRUE
british library	Or_11680.xml	fa	TRUE
british library	Or_11837.xml	fa	TRUE
british library	Or_11840.xml	fa	TRUE
british library	Or_11847.xml	fa	TRUE
british library	Or_11920.xml	fa	TRUE
british library	Or_11952.xml	fa	TRUE
british library	Or_11960.xml	fa	TRUE
british library	Or_11963.xml	fa	TRUE
british library	Or_11986.xml	fa	TRUE
british library	Or_12076.xml	fa	TRUE
british library	Or_12084.xml	fa	TRUE
british library	Or_12104.xml	fa	TRUE
british library	Or_12123.xml	fa	TRUE
british library	Or_12208.xml	fa	TRUE
british library	Or_12220.xml	fa	TRUE
british library	Or_12614.xml	fa	TRUE
british library	Or_12864.xml	fa	TRUE
british library	Or_12865.xml	fa	TRUE
british library	Or_12984.xml	fa	TRUE
british library	Or_12985.xml	fa	TRUE
british library	Or_13021.xml	fa	TRUE
british library	Or_13089.xml	fa	TRUE
british library	Or_13176.xml	fa	TRUE
british library	Or_13531.xml	fa	TRUE
british library	Or_13663.xml	fa	TRUE
british library	Or_13718.xml	fa	TRUE
british library	Or_13759.xml	fa	TRUE
british library	Or_13836.xml	fa	TRUE
british library	Or_13838.xml	fa	TRUE
british library	Or_14102.xml	fa	TRUE
british library	Or_14159.xml	fa	TRUE
british library	Or_14244.xml	fa	TRUE
british library	Or_14340.xml	fa	TRUE
british library	Or_14403.xml	fa	TRUE
british library	Or_14520.xml	fa	TRUE
british library	Or_14633.xml	fa	TRUE
british library	Or_14654.xml	fa	TRUE
british library	Or_14689.xml	fa	TRUE
british library	Or_14745.xml	fa	TRUE
british library	Or_14982.1.xml	fa	TRUE
british library	Or_14982.2.xml	fa	TRUE
british library	Or_14982.8.xml	fa	TRUE
british library	Or_14982.9.xml	fa	TRUE
british library	Or_15060.xml	fa	TRUE
british library	Or_15597.xml	fa	TRUE
british library	Or_2265.xml	fa	TRUE
british library	Or_3653.xml	fa	TRUE
british library	Or_4615.xml	fa	TRUE
british library	Or_5081.xml	fa	TRUE
british library	Or_5094.xml	fa	TRUE
british library	Or_5095.xml	fa	TRUE
british library	Or_5100.xml	fa	TRUE
british library	Or_5302.xml	fa	TRUE
british library	Or_5343.xml	fa	TRUE
british library	Or_5601.xml	fa	TRUE
british library	Or_5610.xml	fa	TRUE
british library	Or_5686.xml	fa	TRUE
british library	Or_5736.xml	fa	TRUE
british library	Or_5847.xml	fa	TRUE
british library	Or_5871.xml	fa	TRUE
british library	Or_5878.xml	fa	TRUE
british library	Or_5880.xml	fa	TRUE
british library	Or_5950.xml	fa	TRUE
british library	Or_5959.xml	fa	TRUE
british library	Or_5966.xml	fa	TRUE
british library	Or_6244.xml	fa	TRUE
british library	Or_6290.xml	fa	TRUE
british library	Or_6311.xml	fa	TRUE
british library	Or_6376.xml	fa	TRUE
british library	Or_6380.xml	fa	TRUE
british library	Or_6432.xml	fa	TRUE
british library	Or_6534.xml	fa	TRUE
british library	Or_6708.xml	fa	TRUE
british library	Or_6836.xml	fa	TRUE
british library	Or_6944.xml	fa	TRUE
british library	Or_6950.xml	fa	TRUE
british library	Or_6966.xml	fa	TRUE
british library	Or_7038.xml	fa	TRUE
british library	Or_7040.xml	fa	TRUE
british library	Or_7042.xml	fa	TRUE
british library	Or_7045.xml	fa	TRUE
british library	Or_7049.xml	fa	TRUE
british library	Or_7242.xml	fa	TRUE
british library	Or_7345.xml	fa	TRUE
british library	Or_7370.xml	fa	TRUE
british library	Or_7483.xml	fa	TRUE
british library	Or_7509.xml	fa	TRUE
british library	Or_7552.xml	fa	TRUE
british library	Or_7580.xml	fa	TRUE
british library	Or_7585.xml	fa	TRUE
british library	Or_7600.xml	fa	TRUE
british library	Or_7721.xml	fa	TRUE
british library	Or_7765.xml	fa	TRUE
british library	Or_7815.xml	fa	TRUE
british library	Or_7862.xml	fa	TRUE
british library	Or_7909.xml	fa	TRUE
british library	Or_7932.xml	fa	TRUE
british library	Or_7974.xml	fa	TRUE
british library	Or_8019.xml	fa	TRUE
british library	Or_8064.xml	fa	TRUE
british library	Or_8200.xml	fa	TRUE
british library	Or_8201.xml	fa	TRUE
british library	Or_8359.xml	fa	TRUE
british library	Or_8374.xml	fa	TRUE
british library	Or_8754.xml	fa	TRUE
british library	Or_8757.xml	fa	TRUE
british library	Or_8999.xml	fa	TRUE
british library	Or_9037.xml	fa	TRUE
british library	Or_9121.xml	fa	TRUE
british library	Or_9316.xml	fa	TRUE
british library	Or_9317.xml	fa	TRUE
british library	Or_9332.xml	fa	TRUE
british library	Or_9346.xml	fa	TRUE
british library	Or_9458.xml	fa	TRUE
british library	Or_9459.xml	fa	TRUE
british library	Or_9460.xml	fa	TRUE
british library	Or_9490.xml	fa	TRUE
british library	Or_9495.xml	fa	TRUE
british library	Or_9605.xml	fa	TRUE
british library	Or_9826.xml	fa	TRUE
british library	Or_9869.xml	fa	TRUE
british library	Or_9872.xml	fa	TRUE
british library	Uk_Delhi_Persian_96.xml	fa	TRUE
british library	Or_14257.xml	fa	TRUE
british library	Or_14257.xml	ar	TRUE
british library	Or_8680.xml	fa	TRUE
british library	Or_8680.xml	ar	TRUE
british library	Or_9871.xml	fa	TRUE
british library	Or_9871.xml	ar	TRUE
british library	Or_10043.xml	he	TRUE
british library	Or_9953.xml	he	TRUE
british library	Or_10007.xml	he	TRUE
british library	Or_10007.xml	jpr	TRUE
british library	Or_10193.xml	jpr	TRUE
british library	Or_2453.xml	jpr	TRUE
british library	Or_2456.xml	jpr	TRUE
british library	Or_2459.xml	jpr	TRUE
british library	Or_2460.xml	jpr	TRUE
british library	Or_12172.xml	tur	TRUE
british library	Or_7069.xml	tur	TRUE
british library	Or_7154.xml	tur	TRUE
british library	Or_7162.xml	tur	TRUE
british library	Or_7172.xml	tur	TRUE
british library	Or_7263.xml	tur	TRUE
british library	Or_13045.xml	tur	TRUE
british library	Or_13045.xml	fa	TRUE
british library	Or_13045.xml	ar	TRUE
british library	Or_14385.xml	ar	TRUE
british library	Or_15054.xml	ar	TRUE
british library	Or_15172.xml	ar	TRUE
british library	Or_6264.xml	ar	TRUE
british library	Or_7819.xml	ar	TRUE
british library	Add_18579.xml	fa	TRUE
british library	Add_6613.xml	fa	TRUE
british library	Add_7801.xml	fa	TRUE
british library	Delhi_Persian_11.xml	fa	TRUE
british library	Delhi_Persian_1169.xml	fa	TRUE
british library	Delhi_Persian_1182.xml	fa	TRUE
british library	Delhi_Persian_1183.xml	fa	TRUE
british library	Delhi_Persian_12.xml	fa	TRUE
british library	Delhi_Persian_133.xml	fa	TRUE
british library	Delhi_Persian_14.xml	fa	TRUE
british library	Delhi_Persian_1420.xml	fa	TRUE
british library	Delhi_Persian_3B.xml	fa	TRUE
